country|Green_urban_areas|Cropland|Grassland|Heatland_and_shrub|Woodland_and_forest|Sparsely_vegetated_land|Wetlands|Rivers_and_lakes|Coastal_and_intertidal_areas||
AT|0.63|53.25|80.14|27.55|285.59|87.06|4.93|0.00|0.00||
BE|2.08|146.91|84.77|22.91|315.60|2.12|14.08|0.71|2.33||
BG|0.18|10.32|28.26|11.75|166.33|12.61|1.63|0.13|0.02||
CY|0.21|0.88|0.26|4.50|33.41|1.25|0.12|0.45|0.00||
CZ|0.39|147.10|81.15|0.85|398.00|0.15|3.50|0.00|0.00||
DE|30.64|2722.76|2652.10|89.96|7393.76|32.81|103.08|18.17|7.67||
DK|9.95|244.12|110.61|108.67|374.10|14.46|110.08|43.08|2.32||
EE|0.27|3.41|10.66|1.67|77.19|1.02|35.07|0.34|0.13||
EL|0.06|129.15|139.75|227.25|471.09|45.73|8.40|13.01|1.40||
ES|0.57|388.53|289.23|524.23|1026.19|105.98|12.44|17.78|3.79||
FI|0.02|2.38|3.24|112.74|449.44|27.74|130.93|0.47|0.00||
FR|1.04|820.98|836.96|125.22|1743.81|181.45|28.28|22.10|7.75||
HR|0.77|128.97|228.17|0.00|583.90|2.88|57.53|0.00|0.00||
HU|0.27|24.11|24.39|6.66|139.18|3.84|7.04|0.21|0.02||
IE|0.07|5.43|17.49|8.98|12.34|11.20|77.83|0.77|1.85||
IT|2.18|494.49|469.24|279.29|2185.60|317.87|11.38|9.99|2.93||
LT|0.31|48.86|9.41|0.55|114.78|0.37|7.87|0.00|0.01||
LU|0.08|7.63|5.57|0.00|86.47|0.00|0.00|0.00|0.00||
LV|0.20|27.42|9.42|0.00|71.91|0.18|8.54|0.00|0.00||
MT|0.19|2.81|0.00|3.48|0.25|0.51|0.00|0.08|0.00||
NL|9.42|71.25|455.94|204.35|844.45|51.36|203.90|44.27|4.15||
PL|1.28|860.42|503.55|2.05|2999.24|6.09|49.15|0.00|0.02||
PT|0.21|416.03|57.96|197.10|588.87|43.67|1.19|25.04|16.30||
RO|0.19|26.87|41.02|9.71|194.33|4.75|86.34|1.46|0.31||
SE|1.21|8.86|35.72|375.66|761.44|140.29|167.69|0.14|0.29||
SI|0.10|14.68|4.31|7.34|60.50|10.02|0.19|0.43|0.00||
SK|0.14|111.12|84.15|10.34|772.21|9.13|2.53|0.00|0.00||
UK|5.58|733.31|1377.15|432.49|508.96|144.57|552.91|26.33|11.07||
EU|78.24|10390.84|10760.85|4315.07|31415.92|2109.2|3037.42|301.87|94.54||
|||||||||||
