Country|Households||||||||
AT|641758.84||||||||
BE|572592.43||||||||
BG|229769.15||||||||
CY|52604.44||||||||
CZ|625473.28||||||||
DE|8159424.40||||||||
DK|688323.14||||||||
EE|59500.17||||||||
EL|1816563.65||||||||
ES|330898.94||||||||
FI|4501815.50||||||||
FR|487633.25||||||||
HR|175313.67||||||||
HU|532668.51||||||||
IE|291209.47||||||||
IT|2836422.55||||||||
LT|193458.26||||||||
LU|63042.62||||||||
LV|122049.26||||||||
MT|16307.75||||||||
NL|759750.07||||||||
PL|2767417.95||||||||
PT|570346.94||||||||
RO|380882.99||||||||
SE|504641.04||||||||
SI|106722.78||||||||
SK|341349.50||||||||
UK|3954873.78||||||||
