country|Green_urban_areas|Cropland|Grassland|Heatland_and_shrub|Woodland_and_forest|Sparsely_vegetated_land|Wetlands|Rivers_and_lakes|Coastal_and_intertidal_areas
AT|0.10|3.16|8.85|3.35|43.47|10.04|0.75|0.00|0.00
BE|0.28|7.58|6.92|2.48|42.76|0.29|1.91|0.10|0.25
BG|0.03|0.74|3.16|1.33|23.45|1.33|0.23|0.02|0.00
CY|0.24|0.49|0.24|4.11|38.15|1.22|0.13|0.51|0.00
CZ|0.05|7.99|6.17|0.09|49.99|0.01|0.44|0.00|0.00
DE|0.48|13.25|25.30|1.13|115.72|0.41|1.61|0.28|0.10
DK|2.59|26.72|19.63|22.61|97.31|3.76|28.63|11.21|0.48
EE|0.27|1.84|7.90|1.33|76.95|0.99|34.96|0.34|0.10
EL|0.01|9.78|16.60|27.33|70.82|5.12|1.26|1.96|0.17
ES|0.02|7.10|8.25|15.34|37.54|2.88|0.46|0.65|0.11
FI|0.01|0.31|0.58|20.61|102.71|4.91|29.92|0.11|0.00
FR|0.03|6.94|13.33|2.46|42.84|3.41|0.69|0.54|0.15
HR|0.07|2.88|4.76|1.46|38.19|0.75|1.93|0.06|0.00
HU|0.09|5.37|20.97|0.00|70.51|0.24|6.95|0.00|0.00
IE|0.02|1.00|3.76|2.35|4.04|2.84|25.45|0.25|0.48
IT|0.05|4.85|7.86|4.81|47.09|5.34|0.25|0.22|0.05
LT|0.10|6.69|1.84|0.14|37.25|0.12|2.55|0.00|0.00
LU|0.20|8.88|8.46|0.00|218.74|0.00|0.00|0.00|0.00
LV|0.12|5.40|3.27|0.00|41.16|0.10|4.89|0.00|0.00
MT|0.78|6.64|0.00|11.30|1.00|1.45|0.00|0.34|0.00
NL|0.71|2.32|23.48|12.36|63.85|3.88|15.42|3.35|0.25
PL|0.04|10.99|10.22|0.06|100.65|0.17|1.65|0.00|0.00
PT|0.03|28.96|5.91|22.65|84.58|4.61|0.17|3.60|1.87
RO|0.01|0.52|1.71|0.43|10.77|0.23|4.78|0.08|0.01
SE|0.13|0.40|2.95|32.99|83.59|11.39|18.41|0.02|0.03
SI|0.06|4.11|1.73|3.54|36.43|4.69|0.11|0.26|0.00
SK|0.03|11.07|11.45|1.79|167.02|1.50|0.55|0.00|0.00
UK|0.14|5.85|23.06|8.93|13.13|2.79|14.27|0.68|0.23
